"Product attachments","Productbijlagen"
"My attachments","Mijn bijlagen"
"Provided attachment information is invalid.","Opgegeven bijlage-informatie is ongeldig."
"Invalid attachment type.","Ongeldig type bijlage"
"Attachment title cannot be empty.","Bijlage titel mag niet leeg zijn."
"There is no attachment with provided ID.","Er is geen bijlage met opgegeven ID."
"Provided attachment is not related to given product.","Bijgevoegde bijlage is niet gerelateerd aan het product"
"Cannot delete attachment with id %1","Kan bijlage met id %1 niet verwijderen"
"Sort order must be a positive integer.","Sorteervolgorde moet een positief getal zijn"
"Provided file content must be valid base64 encoded data.","Inhoud van de bijgevoegde bijlage moet geldige base64 encoded data bevatten."
"Attachment URL must have valid format.","URL van bijlage moet een geldig formaat hebben"
"There was an error during file content upload.","Er is een fout opgetreden tijdens het uploaden van het bestand"
"Attachments","Bijlagen"
"Title","Titel"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.",""Alfanumerieke tekens, streepjes en onderstrepingstekens worden aanbevolen voor bestandsnamen. Onjuiste tekens worden vervangen door '_'.""
"Add attachment","Voeg bijlage toe"
"File","Bestand"
"Unable to find attachment with id %1","Kan bijlage met id %1 niet vinden"
"Sorry, there was an error getting requested content.",""Sorry, er is een fout opgetreden bij het ophalen van gevraagde inhoud.""
"Attachment file not provided","Bijlagebestand niet meegegeven"
"Attachment not found.","Bijlage niet gevonden."
"Something went wrong while getting the requested content.","Er is iets misgegaan bij het ophalen van de gevraagde inhoud."
"File can not be moved from temporary folder to the destination folder.","Bestand kan niet van tijdelijke map naar de doelmap worden verplaatst."
"Default attachment title","Standaard bijlage titel"
"Open links in new window","Open links in nieuw venster"
"Use content-disposition","Gebruik content-disposition"
"Something went wrong, please contact the store support.","Er is iets misgegaan. Neem contact op met de klantenservice."
"Product","Product"
"Title","Titel"
"Start download","Start download"
"You have not products' attachments yet.","Er zijn nog geen bijlagen voor producten."
"Back","Terug"
"This products does not contain any attachments.","Dit product bevat geen bijlagen."
"Product attachment section","Product bijlage sectie"
